nama_rumah_sakit,jenis_rumah_sakit,alamat_lokasi_rumah_sakit,kelurahan,kecamatan,kota_administrasi,kode_pos,no_telepon,no_faximile,alamat_website,alamat_email,nama_direktur/kepala_rs,jml_tempat_tidur_per_kelas_vvip,jml_tempat_tidur_per_kelas_vip,jml_tempat_tidur_per_kelas_eksekutif/utama,jml_tempat_tidur_per_kelas_kelas_i,jml_tempat_tidur_per_kelas_kelas_ii,jml_tempat_tidur_per_kelas_kelas_iii,jml_tempat_tidur_per_kelas_perinatal,jml_tempat_tidur_per_kelas_icu,jml_tempat_tidur_per_kelas_picu,jml_tempat_tidur_per_kelas_nicu,jml_tempat_tidur_per_kelas_hcu,jml_tempat_tidur_per_kelas_iccu,jml_tempat_tidur_per_kelas_igd,jml_tempat_tidur_per_kelas_isolasi,jml_tempat_tidur_per_kelas_1_day_care,jml_tempat_tidur_per_kelas_r.operasi,jml_tempat_tidur_per_kelas_k.bersalin,jml_tempat_tidur_per_kelas_hemodialisa,jml_tempat_tidur_per_kelas_r.anak,jml_tempat_tidur_per_kelas_non_kelas,jml_tempat_tidur_per_kelas_lain2
Rawamangun,Rumah Sakit Khusus Bedah,Jl. Balai Pustaka Raya No. 29-31,Rawamangun,Pulogadung,Jakarta Timur,13220,4893531,4710918,,hrd.rsrawamangun@gmail.com,"Dr.Elviera Darmayanti, MM",0,2,0,9,3,21,0,0,0,0,2,0,3,2,0,,,6,,0,
SMEC,Rumah Sakit Khusus Mata,Jl. Pemuda No.36 RT.005 / RW.03,Rawamangun,Pulogadung,Jakarta Timur,13220,4714848,4755703,,jakarta@rsmatasmec.com,"dr. Ikhsan Revino, Sp.M(K)",0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Alvernia Agusta,Rumah Sakit Khusus Ibu dan Anak,Jl. Pemuda No. 80 RT.001 / RW.08,Jati,Pulogadung,Jakarta Timur,13220,"4705266, 4720893",4705266,,"admin@rsbalverniaagusta.com, contact.us@alverniaagusta.co.id","dr. Winarno., Sp.OG",0,0,0,7,2,10,0,0,0,0,1,0,2,0,0,,,0,,0,
Bunda Aliyah,Rumah Sakit Khusus Ibu dan Anak,Jl. Pahlawan Revolusi No. 100,Pondok Bambu,Duren Sawit,Jakarta Timur,13430,86602525,"86600712, 86600940",www.bundaaliyah.com,"yanuarjak@yahoo.co.id, marketing.rsiabundaaliyah@gmail.com","Dr.Yanuar Jak, SpOG. MARS",3,9,0,12,20,22,10,2,5,5,0,0,5,0,2,2,9,0,25,3,0
SamMarie Basra,Rumah Sakit Khusus Ibu dan Anak,Jl. Basuki Rachmat No. 31,Pondok Bambu,Duren Sawit,Jakarta Timur,13430,"86613145, 86613146",86613147,www.sammariebasra.com,contact.sambasra@gmail.com,"Dr. dr. Hardi Yusa, Sp.OG. MARS",1,2,0,2,4,6,8,0,2,2,2,0,3,0,0,,,0,,0,2
Duren Sawit,Rumah Sakit Khusus Jiwa,Jl. Duren Sawit Baru No. 2,Duren Sawit,Duren Sawit,Jakarta Timur,13440,"8628686, 8617601",8628659,www.rsdurensawit.go.id,rskddurensawit@gmail.com,"dr. Julaga H.C. Lumban Tobing, MARS",0,0,0,8,10,132,0,0,0,0,6,0,8,0,0,0,0,0,0,30,0
Sayyidah,Rumah Sakit Khusus Ibu dan Anak,Jl. Taman Malaka Selatan No. 6,Pondok Kelapa,Duren Sawit,Jakarta Timur,13450,"86902950, 8655179",8649886,www.rsiasayyidah.moonfruit.com,sayyidah_rsia@yahoo.com,"dr. Woro Murdiastuti, MM",0,1,0,2,3,14,5,0,0,0,1,0,5,1,1,1,2,0,5,0,0
Islam Klender Jakarta,Rumah Sakit Khusus Jiwa,Jl. Bunga Rampai X - Perumnas Klender,Malaka Jaya,Duren Sawit,Jakarta Timur,13460,"86602402, 8622491",86610234,www.rsjiwaislam.com,rsjiwaislam@yahoo.co.id,"Dr. Metta Desvini, PS. Sp.KJ",0,2,0,8,8,32,0,0,0,0,0,0,2,3,0,,,0,,0,
Asta Nugraha,Rumah Sakit Khusus Bersalin,JL. Duren Sawit Raya Blok K.3 No.1,Klender,Duren Sawit,Jakarta Timur,13470,8615937,,,,"Dr.Tukimin Ismail, SpOG",0,0,0,2,2,2,0,0,0,0,4,0,4,1,0,,,0,,0,
Restu Kasih,Rumah Sakit Khusus Ibu dan Anak,Jl. Raya Bogor Km. 19 No. 3.a,Kramat Jati,Kramat Jati,Jakarta Timur,13510,8001177,80882753,,rsia_restu@yahoo.com,"dr. Carla Permanasari., M.M.",0,3,0,5,12,7,0,0,0,0,0,0,3,0,0,,,0,,0,
El Shama,Rumah Sakit Khusus Bersalin,Jl. Raya Bogor Km.20 No.1,Kp. Tengah,Kramat Jati,Jakarta Timur,13510,"33777772, 99777772, 99777773",,,rsb_elshama@yahoo.com,"Dr. drg. Tjen Dravinne Winata., Sp.KG., MARS., RO., FIACLE",0,0,0,0,0,27,6,0,0,0,2,0,3,0,0,,,0,,0,4
TNI - AU,Rumah Sakit Khusus Gigi & Mulut,"Jl. Puntodewo No.1, Dirgantara II RT.001/RW.02",Halim,Makasar,Jakarta Timur,13610,"80879255, 80879256",,,lakesgilut@yahoo.co.id,"Drg. F.D. Emawati, Sp.KG",0,11,0,3,4,5,0,0,0,0,0,0,0,0,0,,,0,,5,
Pusat Otak Nasional,Rumah Sakit Khusus Otak,Jl. M.T. Haryono Kavling 11,Cawang,Kramat Jati,Jakarta Timur,13630,"86610709, 86610709","86610709, 86610709",,rspotakn@gmail.com,"dr. Mursyid Bustami, Sp.S (K) KIC",5,8,17,40,12,34,0,10,0,0,8,0,11,4,0,2,0,0,0,0,0
Ketergantungan Obat,Rumah Sakit Khusus Ketergantungan Obat,Jl. LapanganTembak No. 75,Cibubur,Ciracas,Jakarta Timur,13720,"87711968, 87711969",87711970,www.rsko-jakarta.com,rskojakarta@gmail.com,"dr. Erie Dharma Irawan., Sp.KJ., MARS",4,0,0,8,12,72,0,0,0,0,4,0,0,0,0,,,0,,0,
Bina Waluya,Rumah Sakit Khusus Jantung,Jl. TB Simatupang No. 71,Gedong,Pasar Rebo,Jakarta Timur,13750,"87781605, 87781606","8403869, 8404652",www.binawaluya.com,jimmyagung_27@ymail.com,"dr. Dewi Yuliawati., MARS",3,7,2,7,8,10,0,0,0,0,0,4,3,0,0,,,0,0,0,0
Resti Mulya,Rumah Sakit Khusus Ibu dan Anak,Jl. Pahlawan Komarudin Raya No. 5,Penggilingan,Cakung,Jakarta Timur,13940,4802192,48701488,,rsia_resti_mulya@ymail.com,"dr. Edeng Rachmat., M.M.",2,5,0,6,5,9,8,0,0,0,0,0,3,1,0,1,4,0,3,0,0
Kepulauan Seribu,Rumah Sakit Umum Daerah,Pulau Pramuka,Pulau Panggang,Kepulauan Seribu Utara,Kepulauan Seribu,14510,"33230332, 33312388, 36571981","33312388, 37175900",,rsukepulauanseribu@yahoo.co.id,drg. Ma’mun Zaini,0,0,0,0,0,10,0,0,0,0,0,0,1,0,1,,,0,,0,2
Cempaka Putih,Rumah Sakit Umum Daerah,Jl. Rawasari Selatan No. 1,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,10510,"4219548, 42801341",4224243,,rsucempakaputih@gmail.com,"dr. Dewi R. Anggraini, M.Kes.",0,0,0,0,0,29,3,0,0,0,0,0,5,1,0,1,2,0,0,0,0
Sawah Besar,Rumah Sakit Umum Daerah,Jl. Dwiwarna Raya No. 6-8,Karang Anyar,Sawah Besar,Jakarta Pusat,10740,"6289080, 4224041",4224041,,"eduardthomasp@gmail.com, rsusawahbesar@gmail.com",drg. Suzy Freud,0,0,0,0,0,27,4,0,0,0,2,0,5,0,0,1,2,0,0,0,0
Johar Baru,Rumah Sakit Umum Daerah,Jl. Tanah Tinggi XII,Tanah Tinggi,Johar Baru,Jakarta Pusat,10540,4246359,4224041,,rsujoharbaru@gmail.com,"dr. Dwi Oktavia T.L. Handayani, M.Epid",0,0,0,0,0,30,3,0,0,0,2,0,3,3,0,1,3,0,0,0,0
Kemayoran,Rumah Sakit Umum Daerah,Jl. Serdang Baru I,Serdang,Kemayoran,Jakarta Pusat,10650,4801847,4801846,,rsukemayoran@gmail.com,"dr. Ani Sri Wahyuningsih, MKK, MARS",0,0,0,0,0,48,3,0,0,0,2,0,5,0,0,1,7,0,21,0,0
Tugu Koja,Rumah Sakit Umum Daerah,Jl. Walang Permai No. 39,Tugu Utara,Koja,Jakarta Utara,14260,"43905651, 4358809",4367168,,abdurachman418@gmail.com,"dr. Nailah, M.Si",0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cilincing,Rumah Sakit Umum Daerah,Jl. Madya Kebantenan No. 4,Semper Timur,Cilincing,Jakarta Utara,14130,"4412889, 4416367","4412889, 4416367",,rsukcilincing@gmail.com,"dr. Netty Siahaan, MKM",0,0,0,0,0,14,3,0,0,0,1,0,6,0,0,1,5,0,8,0,0
Pademangan,Rumah Sakit Umum Daerah,Jl. Budi Mulia Raya No. 2 RT.0015 / RW.011,Pademangan Barat,Pademangan,Jakarta Utara,14420,6452346,,,rsupademangan@gmail.com,dr. Siti Rachmi,0,0,0,0,0,20,2,0,0,0,2,0,5,2,0,1,7,0,13,0,0
Kembangan,Rumah Sakit Umum Daerah,Jl. Topaz Blok F2 No. 3,Meruya Ilir,Kembangan,Jakarta Barat,11620,5870834,5870834,www.rsudkembangan.com,"pkm_kembangan@yahoo.com, rsudkembangan@gmail.com","dr. Irma Riani, MAP",0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,1,10,0,8,0,2
Kalideres,Rumah Sakit Umum Daerah,Jl. Satu Maret No. 48 RT.001 / RW.04,Pegadungan,Kalideres,Jakarta Barat,11830,"5439057, 22552766","54390576, 54390576",,rsukalideres@gmail.com,"dr. Fify Mulyani, MARS",0,0,0,0,0,16,2,0,0,0,4,0,8,0,0,2,2,0,0,0,0
Jagakarsa,Rumah Sakit Umum Daerah,Jl. Mohamad Kahfi 1 No. 27 A,Jagakarsa,Jagakarsa,Jakarta Selatan,12620,"7864707, 78882455",22708072,rsudjagakarsa.jakarta.go.id,rsukecjagakarsa@gmail.com,"dr. Dewi Mustika, M.Kes",0,0,0,0,0,26,4,0,0,0,3,0,3,1,0,1,3,0,0,0,0
Tebet,Rumah Sakit Umum Daerah,"Jl. Prof. Supomo, SH No. 54",Tebet Barat,Tebet,Jakarta Selatan,12810,8314955,8296918,,"rsutebet@gmail.com, rsutebet@jakarta.go.id",drg. Yeni Restuti,0,0,0,0,0,9,3,0,0,0,2,0,5,1,0,1,3,0,13,0,0
Mampang Prapatan,Rumah Sakit Umum Daerah,Jl. Kapten P. Tendean No. 9,Mampang Prapatan,Mampang Prapatan,Jakarta Selatan,12790,79192187,,,rsudmampangprapatan@gmail.com,"dr. Dewi Sri Rachmawati S, Sp.A",0,0,0,0,0,29,2,0,0,0,2,0,3,0,0,1,2,0,0,0,6
Pesanggrahan,Rumah Sakit Umum Daerah,Jl. Cenek I No. 1,Pesanggrahan,Pesanggrahan,Jakarta Selatan,12320,7356087,,,rsupesanggrahan@gmail.com,drg. Endah Kartika Dewi,0,0,0,0,0,39,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Kramat Jati,Rumah Sakit Umum Daerah,Jl. Raya Inpres No. 48,Kampung Tengah,Kramat Jati,Jakarta Timur,13540,"87791152, 87793604",87793604,,rsukramatjati@gmail.com,"dr. Purbo Antarsih, M.Kes.",0,0,0,0,0,26,4,0,0,0,0,0,6,0,0,0,2,0,0,0,0
Ciracas,Rumah Sakit Umum Daerah,Jl. Raya Lapangan Tembak,Cibubur I,Ciracas,Jakarta Timur,13720,8718995,,,rsuciracas@gmail.com,dr. Sri Kustantini Hendrastuti,0,0,0,0,0,28,0,0,0,0,0,0,5,1,0,0,5,0,8,28,0
Tanah Abang,Rumah Sakit Umum Daerah,Jl. K.H. Mas Mansyur No 30,Kebon Kacang,Tanah Abang,Jakarta Pusat,10210,"3150427, 31902143",31902143,,rsutnabang@gmail.com,"drg. Alifianti Lestari, MSi",0,0,0,0,0,26,0,0,0,0,0,0,3,1,0,0,2,0,7,0,0
Tanjung Priok,Rumah Sakit Umum Daerah,Jl. Bugis No. 63,Kebon Bawang,Tanjung Priok,Jakarta Utara,14310,,,,mr_rsudtjpriok@yahoo.com,"drg. Toni Wibowo., M.Kes",0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamansari,Rumah Sakit Umum Daerah,Jl. Madu No. 10 RT.002 / RW.03,Mangga Besar,Tamansari,Jakarta Barat,11150,"629775, 6297752",,,rsuktamansari@gmail.com,dr. Budhi Prayudi,0,0,0,0,0,24,0,0,0,0,0,0,5,5,0,0,6,0,15,0,0
Matraman,Rumah Sakit Umum Daerah,Jl. Kebon Kelapa Raya No. 29,Matraman,Matraman,Jakarta Timur,13120,"8581957, 85909055",85909055,,rsukmatraman@gmail.com,"dr. Opy Dyah Paramita, Sp.A",0,0,0,0,0,16,3,0,0,0,3,0,4,2,0,2,5,0,0,0,0
Kebayoran Baru,Rumah Sakit Umum Daerah,Jl. H. Abdul Majid No. 1 RT.002/RW.05,Cipete Utara,Kebayoran Baru,Jakarta Selatan,12150,"08999554177, 22774429, 22774461","22774464, 22774429",,rsudkebayoranbaru@gmail.com,"dr. Friana Asmely, MARS",0,0,0,0,0,36,0,0,0,0,1,0,5,1,0,1,2,0,0,0,0
Jatipadang,Rumah Sakit Umum Daerah,Jl. Raya Ragunan No. 16-17,Jatipadang,Pasar Minggu,Jakarta Selatan,12540,,,,,"dr, Rismasari",0,0,0,0,0,52,5,0,0,0,1,0,5,0,0,0,0,0,0,0,0
